Continent,Region,City,Country,Meal.inex.rest,Meal2px$$3course,McMeal,Beer0.5Res,BeerImport.33Res,CappRest,CokeRest,WaterRest,Milk1l,BreadLoaf,Ricekg,Eggs12,Cheesekg,Chickenkg,Beefkg,Appleskg,Bananakg,Orangeskg,Tomatokg,Potatokg,Onionkg,Lettuce,Water1.5lmarket,Wine$$market,BeerDomes0.5market,BeerImport0.33market,Cigs20,Busfare,Monthbuspass,Taxistart,Taxi1km,Taxi1hrwait,Fuel1l,VwGolf,ToyotaCorolla,Basicbillsapartment,1minmobile,Wifiunlimited,Gymmonth,Tennis1hr,Cinema,Preschoolmonth,Internationalprimaryyear,Jeans,Dress,Trainers,Leathershoes,1bedaptmcity,1bedaptmsuburb,3bedaptmcity,3bedaptmsuburb,sqmpriceaptmcity,sqmtpriceaptmsuburb,netmonthlysalary
Africa,Western Africa,Ibadan,Nigeria,1.35,10.14,6.76,0.68,1.49,1.75,0.32,0.22,2,1.18,2.31,1.34,3.79,4.37,4.79,2.7,1.69,1.58,1.66,1.71,1.75,0.9,0.5,3.38,0.9,1.46,1.24,0.34,23.66,0.9,0.56,3.38,0.38,11264.56,13517.47,23.66,0.07,36.05,25.91,7.13,2.25,77.44,3942.6,19.71,25.35,33.51,37.55,518.17,480.62,1126.46,1013.81,291,485,206.52
Africa,Western Africa,Abuja,Nigeria,3.38,39.43,5.63,1.13,1.58,2.14,0.52,0.25,2.93,1.45,2.99,1.99,6.57,5.45,5.73,4.13,1.75,0.53,1.39,3.21,1.63,1.35,0.43,6.76,1.13,1.37,1.13,0.79,25.91,1.13,0.68,5.63,0.4,23036.02,31540.77,31.54,0.05,55.48,38.3,7.89,7.89,183.99,3689.14,21.68,37.17,47.31,74.35,2275.44,1070.13,5932.67,2562.69,12165.72,11512.38,179.67
Africa,Western Africa,Ilorin,Nigeria,1.13,12.39,5.41,0.68,1.01,0.79,0.34,0.22,2.93,0.96,1.17,1.37,1.35,3.15,2.7,3.38,3.15,1.35,1.8,4.51,1.35,0.45,0.34,5.63,0.45,0.9,1.35,0.16,13.52,1.13,1.35,1.58,0.37,11264.56,22529.12,18.02,0.03,43.77,11.26,18.02,5.63,32.1,1351.75,18.02,54.07,101.38,81.1,337.94,112.65,1126.46,337.94,135.17,90.12,84.48
Europe,Northern Europe,Oslo,Norway,20.11,108.58,12.06,9.9,9.55,4.55,3.1,2.83,2.06,3.41,3.16,4.05,12.02,13.85,27.09,2.92,2.16,2.89,3.77,2.16,2.59,2.45,2.26,17.09,3.31,4.15,14.58,3.92,81.84,10.41,1.51,50.27,2.18,35187.48,34065.51,239.31,0.16,48.99,45.68,33.56,16.04,332,9538.32,91.19,41.68,101.34,126.29,1405.05,1144.04,2296.3,1822.67,9614.74,7223.27,3567.74
Asia,Western Asia,Muscat,Oman,5.19,38.96,6.49,10.39,10.39,4.88,0.9,0.3,1.66,1.16,2.04,2.7,6.98,5.59,9.48,2.48,1.86,1.81,1.25,1.07,1.02,1.25,0.58,20.78,4.97,8.77,6.23,1.3,51.94,5.19,0.78,12.99,0.63,20777.71,19392.53,89.02,0.15,77.23,43.86,30.84,10.39,231.82,7855.92,50.85,38.76,87.49,89.46,651.66,454.51,1171.11,801.04,1943.27,1168.75,1907.3
Asia,Southern Asia,Islamabad,Pakistan,1.34,15.59,3.56,2.23,4.46,1.37,0.24,0.18,0.72,0.46,1.03,1.01,4.29,2.37,3.93,0.93,0.55,0.7,0.57,0.31,0.32,0.31,0.31,1.56,1.21,2.13,1.11,0.2,5.35,0.67,0.2,2.23,1.05,14256.58,17152.18,81.93,0.01,20.18,16.87,5.15,3.12,47.08,945.46,13.28,19.66,54.99,33.88,164.65,106.92,400,231.87,584.36,417.92,215.89
Asia,Southern Asia,Faisalabad,Pakistan,1.23,6.68,3.34,2.23,2.9,0.7,0.18,0.15,0.53,0.35,0.69,0.82,2.83,1.7,2.78,0.89,0.43,0.58,0.43,0.34,0.28,0.35,0.3,1.23,1.09,1.34,0.89,0.22,8.91,0.67,0.18,1.34,0.81,14479.33,16324.92,53.85,0.01,16.71,13.92,2.67,2.67,14.85,721.74,10.42,10.69,51.79,19.68,83.16,50.79,173.75,133.23,257.89,166.46,187.75
Asia,Southern Asia,Karachi,Pakistan,2.23,11.14,3.56,2.12,2.67,1.39,0.29,0.18,0.79,0.46,1.09,1.13,4.91,2.85,4.01,1.09,0.55,0.79,0.74,0.31,0.44,0.32,0.35,1.78,1.4,1.85,1.34,0.22,11.14,0.67,0.16,1.78,1.05,13811.06,19014.32,67.12,0.01,21.08,16.72,6.03,4.46,50.94,1165,14.41,23.55,32.26,27.74,113.5,77.16,265.63,169.3,749.67,418.76,169.3
Asia,Southern Asia,Rawalpindi,Pakistan,1.23,8.91,2.67,2.23,4.46,1.69,0.23,0.18,0.61,0.47,0.84,0.86,5.2,1.92,3.49,0.84,0.59,0.74,0.45,0.26,0.26,0.2,0.33,1.56,1.61,1.61,0.89,0.13,7.35,0.67,0.67,1.23,0.7,11583.47,15791.14,35.04,0.01,16.9,12.33,7.96,2.56,30.56,1260.82,13.29,20.05,39.65,30.67,93.81,72.95,188.68,142.81,573.4,574.46,166.33
Asia,Southern Asia,Lahore,Pakistan,1.56,17.82,3.56,3.01,4.01,1.79,0.22,0.17,0.69,0.66,0.96,1.04,5.76,2.82,3.87,1.2,0.69,0.71,0.67,0.34,0.38,0.27,0.31,0.45,0.83,1.04,1.11,0.18,6.68,0.67,0.22,2.12,1.07,13365.54,18560.51,92.12,0.01,23.75,16.04,7.65,4.46,55.82,1188.38,14.43,25.38,54.43,37.64,112.14,70.5,241.47,186.38,464.02,305.05,164.62
