Continent,Region,City,Country,Meal.inex.rest,Meal2px$$3course,McMeal,Beer0.5Res,BeerImport.33Res,CappRest,CokeRest,WaterRest,Milk1l,BreadLoaf,Ricekg,Eggs12,Cheesekg,Chickenkg,Beefkg,Appleskg,Bananakg,Orangeskg,Tomatokg,Potatokg,Onionkg,Lettuce,Water1.5lmarket,Wine$$market,BeerDomes0.5market,BeerImport0.33market,Cigs20,Busfare,Monthbuspass,Taxistart,Taxi1km,Taxi1hrwait,Fuel1l,VwGolf,ToyotaCorolla,Basicbillsapartment,1minmobile,Wifiunlimited,Gymmonth,Tennis1hr,Cinema,Preschoolmonth,Internationalprimaryyear,Jeans,Dress,Trainers,Leathershoes,1bedaptmcity,1bedaptmsuburb,3bedaptmcity,3bedaptmsuburb,sqmpriceaptmcity,sqmtpriceaptmsuburb,netmonthlysalary
Europe,Southern Europe,Tirana,Albania,5.73,35.24,5.73,1.76,2.64,1.38,1.41,0.71,1.38,0.75,1.45,2.64,7.4,5.62,8.94,1.01,1.76,1.26,1.29,0.8,0.77,0.84,0.54,7.93,0.96,1.49,3.08,0.35,14.1,2.64,2.64,9.55,2.04,18941.21,19879.14,90.62,0.26,15.61,35.28,17.3,6.34,174.32,3334.42,45.84,34.8,74.62,82.61,421.83,251.61,784.35,454.9,2163.8,1012.7,456.1
Africa,Northern Africa,Algiers,Algeria,2.71,21.67,4.69,1.81,2.27,0.95,0.5,0.19,0.87,0.16,1.18,1.42,7.7,4.28,11.5,2.47,2.96,1.3,0.8,0.59,0.39,0.58,0.25,6.68,1.52,1.88,2.38,0.29,10.83,0.36,0.36,4.33,0.31,28886.91,26975.2,48.3,0.07,27.74,20.32,13.13,5.06,102.17,3206.45,37.35,43.04,77.24,82.58,234.19,127.71,437.94,254.2,1632.82,1060.69,287.71
Africa,Northern Africa,Constantine,Algeria,2.53,14.44,4.33,2.09,1.44,0.81,0.49,0.24,0.86,0.15,1.12,1.31,8.23,4.63,11.92,2.27,2.29,1.23,0.72,0.68,0.41,0.58,0.27,6.14,1.36,1.41,2.27,0.29,10.83,0.36,0.29,4.33,0.33,23831.7,27683.29,71.31,0.06,69.21,17.54,3.25,7.22,46.94,1925.79,39.48,42.52,82.65,98.4,146.84,86.66,264.8,181.75,960.49,447.75,263.19
Africa,Northern Africa,Blida,Algeria,3.25,18.05,2.89,1.08,1.44,0.39,0.41,0.17,0.79,0.14,1.06,1.29,6.55,4.29,12.33,2.53,2.23,1.43,0.79,0.62,0.35,0.63,0.24,7.22,1.08,1.44,2.24,0.18,4.69,1.26,0.36,3.61,0.29,21665.18,20258.02,39.54,0.07,36.71,18.05,12.04,3.61,82.15,956.88,25.28,32.05,53.65,61.84,196.19,125.35,300.91,226.28,1068.82,664.4,216.65
Africa,Middle Africa,Luanda,Angola,7.84,64.25,10.51,2.2,1.5,3.93,1.95,1.42,2.49,2.58,1.54,3.68,5.46,8.61,16.6,4.5,0.76,3.47,3.34,2.5,2.17,1.18,0.48,10.02,0.78,0.79,2,0.59,31.78,1.67,1.67,8,0.33,22541.71,23628.3,30.78,0.1,192.23,40.05,28.35,4.84,929.37,2705.62,95.95,150.31,267.21,208.25,220.39,80.85,6880.05,346.62,5421.61,3448.79,1428.77
South America,South America,Cordoba,Argentina,5,20,5.74,1.5,2.5,1.5,1.02,0.9,0.81,0.85,0.79,1.43,7.27,4.28,6.85,1.93,1.91,0.85,1.91,0.65,0.83,1.15,0.96,3,1.53,2.81,2.45,0.65,26.09,1.11,0.5,2.87,1.38,33509.74,24656.05,57.63,0.28,20.84,16.75,4,5,198.73,2475.65,63.33,48.33,96.5,100,214.84,177.5,367.56,332.5,1083.33,800,522.22
South America,South America,Buenos Aires,Argentina,6.4,25,5,1.79,2.4,1.75,1,0.81,0.77,1.28,0.95,1.38,6.54,4,6.42,1.35,1.19,0.73,1.41,0.64,0.73,1.06,0.74,3.73,1.24,1.95,2,0.15,10,1,0.52,4.78,0.97,26700,23229.18,48.19,0.24,21.87,23.63,8.57,5,227.64,4891.47,68.63,44.81,99.89,89.76,308.45,225.84,627.35,444.68,2518.29,2074.45,395.95
South America,South America,Rosario,Argentina,5,25,5,1,2,1.3,1,0.81,0.74,0.97,0.91,0.98,6.54,4,6.42,1.35,1.19,0.73,1.41,0.64,0.7,0.67,0.74,3,1.04,1.95,2,0.5,10,0.8,0.52,4.78,0.86,24000,22666.67,34.3,0.24,21.81,17.5,9.38,3,146.67,4891.47,36.89,23,93.14,80,144.21,104.05,257.25,168.66,1575,1033.33,366.67
South America,South America,Mar del Plata,Argentina,5,30,4,1.5,3,1.25,1.42,1.01,0.68,0.94,0.93,1.23,4.88,4,5,1.4,1.23,0.82,1,0.75,1.2,0.4,1.05,4,1.5,1.9,1.9,0.35,10,1,0.72,6,0.69,22500,24333.33,62.22,0.1,21.2,30,20,4,71.25,1140,61.25,43.33,80,71.25,172.5,137.5,350,263.75,2175,1375,365.67
Asia,Western Asia,Yerevan,Armenia,7.5,37.52,6.95,1.5,2.25,2.84,0.94,0.47,1.37,0.65,2.38,2.29,7.18,6.54,10.47,1.18,1.68,1.76,2.04,0.77,0.73,0.59,0.63,7.5,1.16,1.77,2.06,0.25,10.87,1.5,0.25,3,1.31,23760.89,28517.06,93.01,0.05,19.48,69.95,15.22,6.25,294.99,7704.28,74.35,50.01,110.77,98.55,965.5,650.54,1556.73,925.63,2353.85,1103.1,513.02
Oceania,Oceania,Sydney,Australia,13.41,80.47,9.36,6.37,6.2,3.07,2.19,1.98,1.36,2.27,1.85,3.67,7.66,7.81,13.36,2.84,2.34,2.42,5.12,2.3,2.05,2.54,1.41,10.73,4.1,4.42,26.82,3.02,145.79,3.15,1.81,40.1,1.37,23471.83,19567.33,129.19,0.43,50.02,56.26,15.14,14.75,1676.03,14824.32,75.52,50.11,103.08,120.61,1657.31,1243.61,3318.55,2132.95,11367.32,6674,4672.95
Oceania,Oceania,Canberra,Australia,15.42,73.77,8.82,6.37,6.71,3.24,2.24,1.73,1.38,2.01,1.82,3.61,8.54,7.37,14.21,2.91,2.36,2.7,4.96,2.1,1.61,2.16,1.46,13.41,3.52,4.11,23.47,2.25,70.42,3.51,1.45,34.87,1.35,20118.71,17991.4,133.15,0.21,50.58,44.47,12.93,12.07,1232.27,11937.1,58.15,33.62,80.47,106.25,1371.43,1141.94,2439.39,1784.98,4891.75,3218.99,4672.58
Oceania,Oceania,Perth,Australia,16.77,67.06,9.36,6.71,6.71,3.3,2.47,2.12,1.59,1.92,1.8,4.01,7.27,8.45,13.14,3.28,2.51,2.54,3.89,2.04,1.43,1.72,1.45,12.07,4.23,4.53,26.82,2.85,90.34,3.69,1.15,40.24,1.31,21989.75,19726.36,135.16,0.52,51.98,42.96,9.39,13.41,1274.06,12699.94,63.93,42.22,96.39,110.21,1187.86,933.42,2022.13,1425.96,4359.05,3429.27,4179.62
Oceania,Oceania,Melbourne,Australia,15.42,80.47,9.05,6.71,6.71,3.21,2.56,2.27,1.32,2.23,2.13,3.58,8.76,8.21,13.39,2.91,2.4,2.36,5.03,2.39,2.04,3.02,1.51,13.41,3.86,4.28,26.82,3.08,106.63,3.35,1.21,22.85,1.38,21456.61,18756.01,146.09,0.13,50.76,46.74,13.69,14.75,1665.79,16907.17,71.22,45.18,99.17,112.54,1226.45,1003.98,2271.62,1560.59,6063.49,5063.21,4063.98
Oceania,Oceania,Brisbane,Australia,13.41,67.06,8.72,6.04,6.04,3.29,2.47,1.96,1.29,2.08,1.9,3.17,7.38,7.4,13.44,2.95,2.36,2.66,4.23,2.19,1.89,2.56,1.68,11.4,3.56,4.24,26.82,3.35,132.78,3.35,1.46,32.99,1.36,21459.96,18969.71,131.28,0.32,50.02,40.95,13.26,12.07,1362.2,7287.45,70.69,39.69,103.81,108.07,1290.34,1020.53,2108.74,1420.14,5767.36,3464.89,4031.8
Oceania,Oceania,Adelaide,Australia,12.41,67.06,8.53,5.36,6.44,3.36,2.48,1.8,1.07,1.84,2.04,3.34,8.39,7.34,14.26,2.79,2.53,2.73,4.44,2.23,1.79,2.5,1.35,11.4,4.04,4.56,26.38,2.68,70.42,3.35,1.63,26.59,1.34,23471.83,20021.17,201.67,0.29,47.87,41.26,11.7,12.07,1197.54,13446.01,66.67,46.53,96.47,101.19,1096.84,754.45,2062.17,1367.33,3732.89,1794.89,4023.3
Oceania,Oceania,Gold Coast,Australia,13.41,60.36,10.06,5.36,6.04,3.4,2.21,1.58,1.09,2.2,1.86,2.84,6.04,6.87,11.18,2.86,2.4,2.45,4.2,1.92,1.86,2.37,1.84,12.07,3.66,3.86,25.15,3.35,107.3,3.02,1.68,33.26,1.32,21459.96,20100.38,119.87,0.15,48.45,45.09,24.59,12.07,1415.02,17396.65,72.65,36.21,105.29,108.74,1392.34,1112.12,2397.48,1569.26,9174.98,6629.75,3708.92
Europe,Western Europe,Vienna,Austria,15.58,62.32,9.35,4.67,4.21,3.8,2.99,2.31,1.33,1.91,1.9,3.64,11.69,10.8,15.84,2.32,1.79,2.54,3.02,1.71,1.45,1.56,0.67,6.23,1.07,1.48,6.23,2.49,36.35,4.15,1.78,28.88,2,24367.82,20179.93,213.45,0.07,33.66,28.68,20.77,11.43,279.74,11763.24,94.92,34.32,92.17,123.29,983.06,690.86,1932.98,1328.32,9095.45,5760.31,2662.28
Asia,Western Asia,Baku,Azerbaijan,5.88,29.41,5.88,1.18,2.35,2.84,0.52,0.32,1.24,0.41,1.85,1.31,4.23,3.92,7.33,0.88,1.5,1.51,1.28,0.64,0.44,0.48,0.53,5.88,1.24,2.26,2.94,0.18,12.28,0.94,0.59,3.53,0.64,20588.24,22219.76,50.74,0.04,14.81,32.66,20.99,4.71,205.19,5043.8,45.5,42.66,96.11,66.6,321.77,179.77,621.54,330.03,1568.34,730.03,402.82
Asia,Western Asia,Sumqayit,Azerbaijan,4.41,22.06,4.41,0.88,1.47,2.04,0.44,0.22,1.08,0.3,1.26,1.27,3.1,3.51,6.6,0.72,1.5,1.18,1.03,0.51,0.38,0.39,0.4,4.85,1.04,1.75,2.94,0.18,5.88,0.94,0.39,3.53,0.57,17647.06,22219.76,50.74,0.04,14.81,30.88,8.82,4.12,88.24,2941.18,45.5,42.66,96.11,56.86,117.65,147.06,205.88,235.29,1176.47,470.59,264.71
Asia,Western Asia,Manama,Bahrain,5.3,53.05,6.63,7.96,10.61,4.55,0.72,0.36,1.57,1.33,1.56,2.42,6.99,7.35,7.96,2.01,1.63,1.72,1.11,0.84,0.78,1.91,0.61,18.57,1.97,3.21,5.84,0.8,37.13,5.3,2.65,7.96,0.51,23872.17,21099.14,169.42,0.1,56.81,86.94,46.42,9.28,320.51,8587.35,44.1,65.17,90.85,77.68,964.07,770.98,1779.36,1304.13,1545.06,1293.08,2080.35
Asia,Southern Asia,Dhaka,Bangladesh,1.87,11.24,4.68,5.62,4.92,1.89,0.27,0.15,0.79,0.64,0.67,1.25,6.92,2.99,6.9,2.28,1,2.09,0.92,0.27,0.47,0.38,0.26,5.15,2.22,5.88,3,0.44,17.79,0.94,0.37,2.81,1.05,37453.64,27843.83,35.87,0.01,22.17,16.55,13.6,4.68,62.42,1463.93,20.65,23.91,48.74,39.86,136.4,84.27,333.63,200.14,1094.67,548.8,269.47
Asia,Southern Asia,Sylhet,Bangladesh,1.87,5.62,4.68,4.45,4.56,1.59,0.44,0.16,0.78,0.45,0.64,1.06,7.68,1.82,5.99,1.61,1.05,1.72,0.81,0.29,0.59,0.47,0.24,5.38,2.47,3.98,2.81,0.47,28.09,0.56,0.37,2.81,0.87,35112.79,24515.11,23.53,0.02,18.73,7.49,8.43,4.68,30.69,1404.51,11.24,17.79,37.45,31.21,53.84,53.84,187.27,121.72,475.22,295.21,196.63
Europe,Eastern Europe,Minsk,Belarus,9.89,43.8,5.14,1.25,1.98,1.76,0.82,0.52,0.81,0.63,1.48,1.44,7.08,4.24,8.04,1.57,2.01,1.92,2.86,0.83,0.78,1.61,0.66,7.91,1.09,2.04,1.78,0.34,19.35,1.58,0.2,5.93,0.92,19780.16,27830.3,59.02,0.05,13.95,34.55,18.4,4.75,462.36,6563.99,66.63,44.59,105.95,110.63,399.8,292.9,804.63,511.96,1931.67,1235.59,547.78
Europe,Eastern Europe,Brest,Belarus,7.91,25.71,4.35,0.95,2.77,1.6,0.63,0.37,0.69,0.63,1.14,1.42,6.73,3.98,7.52,0.94,1.77,1.78,2.11,0.66,0.51,0.41,0.62,6.33,1.25,1.98,1.98,0.32,17.01,1.19,0.5,2.89,0.88,14410.54,21582.96,56.45,0.06,12.86,28.35,8.44,3.96,723.79,13046.19,53.41,31.65,70.01,68.14,185.61,116.16,313.96,218.2,782.03,648.92,421.12
Europe,Eastern Europe,Hrodna,Belarus,9.89,39.56,4.35,1.25,1.98,1.48,0.69,0.52,0.81,0.53,1.48,1.44,5.93,4.24,4.35,1.32,2.01,1.92,2.86,0.83,0.73,1.58,0.66,6.33,1.09,1.38,1.78,0.32,15.82,1.07,0.2,5.93,0.89,19780.16,23736.19,59.02,0.04,11.87,26.37,19.78,3.63,356.04,6563.99,66.63,36.92,84.4,94.94,282.2,172.75,395.6,443.08,813.16,676.01,409.11
Europe,Western Europe,Brussels,Belgium,15.58,72.71,9.35,5.19,4.93,3.34,2.51,2.53,1.11,2,1.95,3.02,14.45,9.83,17.06,2.36,1.6,2.53,2.57,1.4,1.27,1.51,0.98,8.31,2.18,3.28,7.79,2.49,51.93,5.09,2.08,31.16,1.95,25967.42,27764.36,206.48,0.27,50.69,32.04,23.26,12.39,875.47,23121.39,82.62,29.37,90.37,122.67,963.92,804.19,1692.13,1489.71,4122.27,3445.01,2736.44
Europe,Western Europe,Antwerp,Belgium,18.7,77.9,9.35,4.15,4.15,3.27,2.68,2.44,1.05,1.97,2.65,3.28,9.01,8.53,14.31,2.46,1.73,2.9,2.73,1.66,1.37,1.14,1.04,7.27,1.9,1.94,7.79,2.6,50.9,5.19,2.08,36.35,1.98,25967.42,25187.1,205.85,0.22,51.93,44.14,20.77,12.46,436.25,15320.78,95.79,46.16,85.98,118.8,842.26,694.2,1350.31,1076.21,3226.45,2544.81,2474.18
Asia,Southern Asia,Thimphu,Bhutan,3.06,18.36,3.06,9.99,2.45,1.32,0.47,0.16,0.83,0.67,0.77,2.09,4.9,3.46,4.53,2.94,1.35,2.33,0.83,0.59,0.66,0.58,0.34,3.67,0.8,1.49,6.12,1.29,15.31,0.98,0.15,5.17,1.11,15300.28,24480.44,33.86,0.04,20.4,71.42,27.74,3.67,43.88,795.61,29.78,18.97,40.8,51,152.7,104.09,244.92,238.81,2015.92,122.4,365.25
South America,South America,Cochabamba,Bolivia,2.89,17.35,6.87,1.74,3.04,2.58,0.69,0.55,0.97,1.2,1.3,1.29,5.31,3.9,6.87,2.1,0.67,0.65,1.16,1.51,0.98,0.94,0.8,7.23,1.81,2.86,2.89,0.29,0,1.45,1.45,7.82,0.54,13953.16,21986.13,18.8,0.22,59.06,35.67,11.3,5.28,174.15,3126.09,42.73,46.99,65.52,81.72,272.86,180.74,511.86,412.67,1033.31,645.82,503.18
South America,South America,La Paz,Bolivia,2.89,20.97,6.51,2.17,3.61,2.58,1,0.79,0.96,1.14,1.11,1.57,6.86,4.14,6.37,2.88,1.36,1.51,1.02,1.02,0.86,0.79,1.08,5.99,1.94,2.93,2.57,0.43,31.09,1.45,1.81,8.68,0.55,15905.15,21655.42,42.15,0.24,47.4,42.96,19.66,6.94,206.87,3969.06,49.26,56.85,88.06,64.52,275.1,223.62,468.12,429.56,1281.62,986.61,499.65
Europe,Southern Europe,Sarajevo,Bosnia And Herzegovina,5.3,26.49,5.03,2.12,1.99,1.49,1.56,0.87,0.92,0.7,1.46,1.99,6.89,6.81,8.68,1.04,1.33,1.39,1.43,0.74,0.85,1.01,0.58,6.36,0.97,1.19,3.18,0.95,28.08,1.06,0.72,5.3,1.7,21188.42,19675.04,154.76,0.1,24.58,26.21,20.43,5.3,179.79,3259.84,68.36,33.15,79.9,89.61,282.19,189.43,485.18,314.9,2050.02,1272.39,744.99
South America,South America,Jundiai,Brazil,5.59,27.95,6.52,1.68,4.66,2.24,1.18,0.81,0.83,1.69,1.24,1.76,9.38,4.91,9.13,1.99,1.18,1.21,2.8,1.27,1.37,0.75,0.7,8.29,1.32,2.92,3.73,0.93,35.93,1.26,0.54,6.15,1.23,19099.62,23105.88,118.01,0.35,17.7,32.52,27.95,7.45,354.04,6652.26,47.83,47.47,78.73,55.44,434.79,293.48,722.06,652.18,1304.36,618.02,619.39
South America,South America,Brasilia,Brazil,5.59,37.27,6.52,1.49,2.8,1.48,0.98,0.7,1.03,1.44,1.61,2,8.45,3.68,8.02,1.48,1.05,0.91,1.44,0.99,0.94,0.64,0.75,8.01,1.24,2.61,2.24,1.02,47.6,1.02,0.93,5.93,1.29,22360.53,26933.06,82.25,0.24,20.9,22.09,24.05,7.45,340.31,8991.64,43.65,40.98,73.53,60.02,371.83,210.34,827.8,495.13,2035.56,1269.63,603.31
South America,South America,Campinas,Brazil,5.59,33.54,6.34,1.3,1.86,1.6,1.09,0.67,0.92,1.39,0.99,1.95,7.52,3.94,8.37,1.25,0.88,0.72,1.25,0.81,0.74,0.7,0.5,8.39,1.1,2.32,1.86,1.01,50.31,0.93,0.72,9.6,1.2,18633.77,23813.55,67.41,0.28,18.3,28.57,31.68,7.45,281.06,9838.63,41.59,47.98,72.46,49.07,328.42,219.46,563.15,430.91,1412.44,1164.61,584.36
South America,South America,Vitoria,Brazil,5.22,37.27,6.52,1.49,4.01,1.94,1.13,0.56,0.85,1.4,1.22,1.78,7.92,4.84,8.52,1.42,0.87,2.05,1.3,1.18,0.93,0.98,0.68,7.45,1.57,3.63,2.24,0.76,32.09,1.16,0.56,3.48,1.23,17702.08,25947.53,60.92,0.29,18.6,31.86,27.02,7.45,354.79,4500.06,35.4,43.79,60.75,50.31,243.79,186.34,503.11,375.78,1233.89,1048.71,503.11
South America,South America,Belem,Brazil,3.35,24.22,5.59,1.68,1.58,1.24,0.85,0.53,1.05,0.99,0.93,2.05,6.09,2.92,6.71,1.99,1.3,1.12,1.49,0.92,0.75,0.68,0.68,11.18,1.37,1.74,2.42,0.75,46.58,1.12,1.02,3.73,1.26,15838.71,25155.59,90.84,0.19,18.17,19.88,27.95,5.59,232.92,4658.44,40.37,46.58,49.69,65.22,360.25,236.03,621.13,453.42,1304.36,885.1,493.79
South America,South America,Natal,Brazil,3.26,17.7,5.59,1.02,2.14,1.71,0.93,0.39,1.24,1.38,1.09,2.28,6.57,3.63,6.75,1.57,1.01,0.76,1.89,0.99,1.16,0.46,0.65,6.5,1.12,1.61,2.22,0.76,46.58,0.95,0.65,6.52,1.23,15372.86,21397.78,74.77,0.09,15.61,17.7,14.44,5.59,217.39,4472.11,38.2,26.71,60.56,42.24,177.02,111.8,484.48,186.34,1164.61,605.6,488.76
South America,South America,Curitiba,Brazil,4.66,27.95,5.59,1.86,2.89,1.57,0.91,0.63,1.06,1.2,1.18,1.75,8.16,3.96,8.12,1.35,0.92,0.75,1.29,0.96,0.84,0.58,0.62,7.45,1.01,2.64,1.89,1.02,42.86,1.01,0.5,4.47,1.23,18633.77,25046,62.64,0.2,21.93,21.42,27.33,7.45,268.33,6062.19,45.48,41.14,66.59,52.03,286.16,195.65,460.67,392.47,1697.12,1149.08,479.37
South America,South America,Joao Pessoa,Brazil,3.17,22.36,5.96,1.3,2.33,1.19,0.8,0.41,1.14,1.33,1.09,1.95,7.43,4.18,7.77,1.91,0.99,0.51,1.29,1.09,1.1,0.67,0.61,6.24,0.97,1.9,2.8,0.82,46.4,0.93,0.75,6.89,1.24,14534.34,24679.96,81.75,0.19,15.28,17.88,9.32,6.14,124.23,4956.58,52.17,32.14,53.57,31.21,274.85,181.68,416.15,330.75,1490.7,1024.86,442.55
South America,South America,Sao Jose dos Campos,Brazil,4.66,27.95,6.52,1.49,2.8,1.41,0.95,0.64,0.97,1.19,1.02,2.04,8.02,3.73,8.16,1.56,1.03,0.8,1.49,0.92,1.01,0.66,0.62,6.98,1.2,2.29,2.24,0.93,37.27,1.49,0.54,7.45,1.19,24223.9,26894.74,55.92,0.25,20.63,23.65,16.77,5.22,283.23,5465.91,37.27,27.42,62.09,49.59,299.69,191,495.87,429.74,1225.17,749.08,440.22
South America,South America,Sao Paulo,Brazil,7.45,37.27,6.52,2.24,3.35,1.51,1.08,0.75,1.26,1.53,1.18,2.22,9.99,4.44,9.36,2.04,1.44,1.06,1.86,1.28,1.27,0.88,0.54,7.45,1.31,2.7,2.24,0.82,44.72,1.02,0.75,9.32,1.23,20869.82,26411.25,67.91,0.28,20.9,23.85,31.57,8.39,408.78,9018.75,55.47,47.84,77.7,64.13,552.13,332,963.65,669.29,2429.12,1578.94,433.19
South America,South America,Recife,Brazil,4.66,22.36,5.78,1.49,2.24,1.47,0.93,0.49,1.04,1.13,1.07,1.67,6.94,3.86,7.78,1.79,1.01,1.02,1.26,0.97,0.87,0.51,0.65,6.52,1.04,1.39,2.24,0.78,37.27,1.04,0.51,3.51,1.23,24922.67,27589.16,75.41,0.3,19.25,20.06,23.6,6.52,310.56,6242.31,45.89,39.75,68.68,48.91,274.18,153.73,434.79,288.82,1723.62,1397.53,432.3
South America,South America,Florianopolis,Brazil,5.59,33.54,6.52,1.58,2.8,1.65,1.1,0.78,0.97,1.39,1.08,1.87,7.98,3.78,8.66,1.46,0.86,0.88,1.61,0.89,0.83,0.79,0.71,7.64,1.08,2.25,2.05,0.91,40.81,1.44,0.47,4.66,1.26,17403.01,26257.86,78.98,0.22,21.75,25.14,26.09,5.78,394.41,7577.73,54.18,47.94,80.99,69.85,345.76,243.67,704.7,509.32,1704.99,1332.31,404.12
South America,South America,Santos,Brazil,5.59,32.61,5.59,2.24,3.54,1.55,1.07,0.65,0.94,1.93,1.15,2.05,9.91,3.79,7.69,1.35,1.07,1.12,2.66,1.23,0.93,0.8,0.67,9.32,1.43,2.8,2.24,0.93,65.22,1.3,0.37,4.66,1.24,18633.77,34161.92,64.16,0.37,27.3,23.11,46.58,7.45,265.53,4472.11,42.3,29.19,64.05,46.58,290.69,276.4,696.9,549.7,1739.15,1086.97,376.4
South America,South America,Osasco,Brazil,5.59,18.63,5.59,1.49,2.24,1.44,0.89,0.47,0.8,1.09,1.12,1.96,7.58,3.85,7.52,1.37,1.24,1.15,1.68,1.18,1.09,0.61,0.47,3.45,1.26,2.14,2.24,0.87,37.27,1.96,0.84,4.66,1.23,21428.84,23105.88,52.8,0.75,19.88,16.15,17.7,4.66,246.9,6770.27,40.06,19.25,55.9,34.01,279.51,181.68,442.55,310.56,1207.47,1003.24,360.25
South America,South America,Rio de Janeiro,Brazil,6.52,27.95,6.52,1.86,2.8,1.53,1.09,0.75,1.03,1.48,1.15,1.82,8.06,3.65,8.23,1.81,1.19,1.02,1.64,1.06,0.97,0.56,0.54,8.39,1.1,2.3,1.86,0.89,46.77,1.12,0.76,11.18,1.34,16770.39,25997.99,90.57,0.32,19.55,26.9,36.65,6.52,459.63,6816.85,39.87,40.91,62.55,56.88,385.92,247.48,773.3,558.24,2058.21,1258.44,353.55
South America,South America,Sao Bernardo do Campo,Brazil,5.59,22.36,6.34,1.3,1.86,1.56,1.06,0.67,0.92,1.39,0.99,1.95,7.52,3.94,8.12,1.24,0.88,0.72,1.35,0.81,0.74,0.7,0.5,7.45,1.1,2.32,2.17,0.94,43.71,0.82,0.67,6.15,1.18,18633.77,22981.65,67.41,0.28,18.3,18.63,22.36,7.45,281.06,4807.51,41.59,47.98,44.71,49.07,242.24,231.06,684.79,326.09,1593.19,1066.78,344.72
South America,South America,Sao Goncalo,Brazil,3.73,17.7,4.94,1.86,2.9,1.51,0.95,0.67,0.95,1.24,1.99,1.72,6.68,3.43,7.39,1.42,0.81,0.63,1.57,0.93,0.85,0.69,0.71,6.06,1.18,2.17,1.96,0.84,25.16,2.8,0.69,11.65,1.25,22360.53,24758.88,81.83,0.28,16.68,17.85,18.1,4.29,214.98,6559.09,32.1,37.8,54.98,37.23,208.54,135.09,427.12,369.4,906.5,874.18,340.07
South America,South America,Vila Velha,Brazil,3.35,22.36,5.59,0.84,1.86,0.84,0.84,0.56,1.15,1.02,0.95,1.34,6.89,5.4,7.83,1.21,0.93,0.65,1.12,0.84,0.65,0.37,0.53,6.52,0.84,1.77,2.24,0.75,46.58,0.87,0.56,3.73,1.26,15838.71,18633.77,48.73,0.52,19.88,27.95,27.95,4.75,437.09,6305.63,65.06,39.98,75.67,111.78,172.46,149.76,433.53,290.21,2371.8,1497.61,335.41
South America,South America,Belo Horizonte,Brazil,4.1,27.95,5.59,1.58,2.24,1.26,0.93,0.5,0.89,1.37,1.8,1.72,7.77,3.49,7.77,1.29,0.91,0.69,1.35,0.77,0.79,0.45,0.57,7.45,1.11,2.1,1.86,0.84,31.86,0.93,1.21,8.39,1.28,21615.18,22765.81,68.88,0.29,18.93,19.21,24.22,5.59,262.94,2664.63,53.29,39.64,71.62,61.63,262.43,179.89,542.71,381.99,1651.26,919.45,310.61
South America,South America,Goiania,Brazil,4.38,27.95,6.5,1.12,2.05,1.53,0.81,0.41,0.98,1.32,1.05,1.77,7,3.8,7.58,1.6,1.07,0.67,1.43,0.94,0.88,0.54,0.78,6.8,1.2,2.61,2.61,0.84,28.65,0.65,1.68,7.45,1.27,26087.28,26153.99,97.58,0.5,19.22,21.12,11.18,6.06,273.3,3875.82,35.4,53.11,74.54,60.37,262.74,170.81,421.12,363.36,1018.65,776.41,310
South America,South America,Joinvile,Brazil,5.12,26.09,5.59,2.05,3.73,1.75,0.97,0.61,0.81,1.26,0.93,1.87,7.58,3.21,6.96,1.06,0.7,0.67,1.21,0.65,0.59,0.56,0.61,7.45,1.03,2.94,2.24,0.93,44.72,1.12,0.93,8.2,1.24,22360.53,21661.76,77.05,0.37,22.57,20.18,20.5,5.59,236.03,5205.03,40.44,44.17,47.61,56.92,251.56,181.68,428.58,350.31,1016.97,894.86,304.66
South America,South America,Guarulhos,Brazil,5.12,18.63,5.22,1.49,2.8,1.44,0.89,0.56,0.8,1.4,1.12,1.91,8.45,5.02,7.05,1.24,1.07,0.81,2.2,1.1,0.79,0.61,0.39,3.45,0.87,1.57,2.24,0.93,37.27,0.82,0.67,4.66,1.23,13285.88,23105.88,32.61,0.31,18.63,17.7,28.14,5.59,363.36,6770.27,29.13,19.25,43.48,34.01,242.24,192.55,419.26,344.72,1882.01,1213.43,298.14
South America,South America,Carapicuiba,Brazil,3.54,18.63,5.78,1.02,1.68,1.06,0.65,0.5,0.96,1.12,0.95,1.9,8.15,3.73,6.75,1.3,0.89,0.98,1.58,0.98,0.93,0.51,0.7,3.73,1.35,1.99,2.33,0.93,42.86,1.58,1.12,4.19,1.32,23478.55,27531.4,71.43,0.37,16.58,18.63,21.74,2.8,130.44,1341.63,20.5,14.91,60.56,32.61,236.03,180.13,322.99,248.45,607.09,557.15,298.14
South America,South America,Aracaju,Brazil,4.66,18.63,5.59,1.49,2.33,1.46,0.68,0.47,0.91,1.28,0.94,1.3,7.08,3.56,7.69,1.58,0.87,0.93,1.02,0.87,0.95,0.63,0.45,5.59,0.81,1.49,1.86,0.84,29.81,1.07,0.37,2.8,1.24,28882.35,22981.65,94.83,0.27,16.46,17.55,23.29,5.92,149.07,4472.11,32.3,43.48,44.26,51.24,155.28,135.09,238.51,190.06,1067.72,855.94,265.22
